[16:44:17] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_train/data_train.rec, use 4 threads for decoding..
[16:44:28] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_val/data_val.rec, use 4 threads for decoding..
[16:44:34] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
/home/wangyuanwen/anaconda3/lib/python3.7/site-packages/mxnet/module/base_module.py:504: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.015625). Is this intended?
  optimizer_params=optimizer_params)
INFO:root:Epoch[2] Batch [2650-2700]	Speed: 4968.35 samples/sec	acc=0.985313
INFO:root:Epoch[2] Batch [2700-2750]	Speed: 5792.24 samples/sec	acc=0.986875
INFO:root:Epoch[2] Batch [2750-2800]	Speed: 6062.58 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [2800-2850]	Speed: 6226.70 samples/sec	acc=0.989375
INFO:root:Epoch[2] Batch [2850-2900]	Speed: 6031.59 samples/sec	acc=0.987500
INFO:root:Epoch[2] Train-acc=0.986816
INFO:root:Epoch[2] Time cost=32.542
INFO:root:Saved checkpoint to "./data/train_output/mxnet_ckpt/mn-v2_0.5-0003.params"
INFO:root:Epoch[2] Validation-acc=0.987442
INFO:root:Epoch[3] Batch [0-50]	Speed: 4884.85 samples/sec	acc=0.983150
INFO:root:Epoch[3] Batch [50-100]	Speed: 5194.22 samples/sec	acc=0.984688
INFO:root:Epoch[3] Batch [100-150]	Speed: 4980.15 samples/sec	acc=0.987812
INFO:root:Epoch[3] Batch [150-200]	Speed: 5010.68 samples/sec	acc=0.990313
INFO:root:Epoch[3] Batch [200-250]	Speed: 6053.73 samples/sec	acc=0.987812
INFO:root:Epoch[3] Batch [250-300]	Speed: 6255.82 samples/sec	acc=0.985000
INFO:root:Epoch[3] Batch [300-350]	Speed: 5803.93 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [350-400]	Speed: 4928.20 samples/sec	acc=0.988750
INFO:root:Epoch[3] Batch [400-450]	Speed: 6222.95 samples/sec	acc=0.986563
INFO:root:Epoch[3] Batch [450-500]	Speed: 6668.19 samples/sec	acc=0.986250
INFO:root:Epoch[3] Batch [500-550]	Speed: 6270.49 samples/sec	acc=0.988125
INFO:root:Epoch[3] Batch [550-600]	Speed: 5746.37 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [600-650]	Speed: 6166.39 samples/sec	acc=0.988125
INFO:root:Epoch[3] Batch [650-700]	Speed: 5845.75 samples/sec	acc=0.984062
INFO:root:Epoch[3] Batch [700-750]	Speed: 6313.76 samples/sec	acc=0.989688
INFO:root:Epoch[3] Batch [750-800]	Speed: 6467.09 samples/sec	acc=0.988750
INFO:root:Epoch[3] Batch [800-850]	Speed: 5797.51 samples/sec	acc=0.984375
INFO:root:Epoch[3] Batch [850-900]	Speed: 6150.88 samples/sec	acc=0.985000
INFO:root:Epoch[3] Batch [900-950]	Speed: 6436.79 samples/sec	acc=0.986875
INFO:root:Epoch[3] Batch [950-1000]	Speed: 6286.55 samples/sec	acc=0.985938
INFO:root:Epoch[3] Batch [1000-1050]	Speed: 6483.29 samples/sec	acc=0.986563
INFO:root:Epoch[3] Batch [1050-1100]	Speed: 6245.55 samples/sec	acc=0.985625
INFO:root:Epoch[3] Batch [1100-1150]	Speed: 6488.12 samples/sec	acc=0.985625
INFO:root:Epoch[3] Batch [1150-1200]	Speed: 6564.54 samples/sec	acc=0.983437
INFO:root:Epoch[3] Batch [1200-1250]	Speed: 5345.82 samples/sec	acc=0.985000
INFO:root:Epoch[3] Batch [1250-1300]	Speed: 6146.02 samples/sec	acc=0.985313
INFO:root:Epoch[3] Batch [1300-1350]	Speed: 5892.26 samples/sec	acc=0.989062
INFO:root:Epoch[3] Batch [1350-1400]	Speed: 5501.61 samples/sec	acc=0.985313
INFO:root:Epoch[3] Batch [1400-1450]	Speed: 5258.24 samples/sec	acc=0.984688
INFO:root:Epoch[3] Batch [1450-1500]	Speed: 4892.75 samples/sec	acc=0.984688
INFO:root:Epoch[3] Batch [1500-1550]	Speed: 4890.10 samples/sec	acc=0.984062
INFO:root:Epoch[3] Batch [1550-1600]	Speed: 5816.37 samples/sec	acc=0.988437
INFO:root:Epoch[3] Batch [1600-1650]	Speed: 5602.53 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [1650-1700]	Speed: 5179.95 samples/sec	acc=0.987812
INFO:root:Epoch[3] Batch [1700-1750]	Speed: 4396.50 samples/sec	acc=0.984375
INFO:root:Epoch[3] Batch [1750-1800]	Speed: 2742.46 samples/sec	acc=0.990000
INFO:root:Epoch[3] Batch [1800-1850]	Speed: 5678.69 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [1850-1900]	Speed: 5608.34 samples/sec	acc=0.988125
INFO:root:Epoch[3] Batch [1900-1950]	Speed: 6668.26 samples/sec	acc=0.988750
INFO:root:Epoch[3] Batch [1950-2000]	Speed: 6103.91 samples/sec	acc=0.983125
INFO:root:Epoch[3] Batch [2000-2050]	Speed: 5169.80 samples/sec	acc=0.987812
INFO:root:Epoch[3] Batch [2050-2100]	Speed: 6164.03 samples/sec	acc=0.987500
INFO:root:Epoch[3] Batch [2100-2150]	Speed: 5716.03 samples/sec	acc=0.990938
INFO:root:Epoch[3] Batch [2150-2200]	Speed: 6258.44 samples/sec	acc=0.985313
INFO:root:Epoch[3] Batch [2200-2250]	Speed: 5938.06 samples/sec	acc=0.987500
INFO:root:Epoch[3] Batch [2250-2300]	Speed: 5814.25 samples/sec	acc=0.988750
INFO:root:Epoch[3] Batch [2300-2350]	Speed: 6156.83 samples/sec	acc=0.985625
INFO:root:Epoch[3] Batch [2350-2400]	Speed: 6212.55 samples/sec	acc=0.987500
INFO:root:Epoch[3] Batch [2400-2450]	Speed: 5754.17 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [2450-2500]	Speed: 5867.94 samples/sec	acc=0.987812
INFO:root:Epoch[3] Batch [2500-2550]	Speed: 6074.64 samples/sec	acc=0.985938
INFO:root:Epoch[3] Batch [2550-2600]	Speed: 5198.22 samples/sec	acc=0.985313
INFO:root:Epoch[3] Batch [2600-2650]	Speed: 5597.11 samples/sec	acc=0.985000
INFO:root:Epoch[3] Batch [2650-2700]	Speed: 5397.91 samples/sec	acc=0.987187
INFO:root:Epoch[3] Batch [2700-2750]	Speed: 5018.42 samples/sec	acc=0.984062
INFO:root:Epoch[3] Batch [2750-2800]	Speed: 6258.50 samples/sec	acc=0.986250
INFO:root:Epoch[3] Batch [2800-2850]	Speed: 6311.04 samples/sec	acc=0.989688
INFO:root:Epoch[3] Batch [2850-2900]	Speed: 4528.53 samples/sec	acc=0.986250
INFO:root:Epoch[3] Train-acc=0.986742
INFO:root:Epoch[3] Time cost=33.389
INFO:root:Saved checkpoint to "./data/train_output/mxnet_ckpt/mn-v2_0.5-0004.params"
INFO:root:Epoch[3] Validation-acc=0.987442
INFO:root:Epoch[4] Batch [0-50]	Speed: 6414.45 samples/sec	acc=0.986826
INFO:root:Epoch[4] Batch [50-100]	Speed: 6182.59 samples/sec	acc=0.985938
INFO:root:Epoch[4] Batch [100-150]	Speed: 6255.34 samples/sec	acc=0.989688
INFO:root:Epoch[4] Batch [150-200]	Speed: 6176.44 samples/sec	acc=0.988750
INFO:root:Epoch[4] Batch [200-250]	Speed: 5923.32 samples/sec	acc=0.990313
INFO:root:Epoch[4] Batch [250-300]	Speed: 4996.67 samples/sec	acc=0.987500
INFO:root:Epoch[4] Batch [300-350]	Speed: 6357.36 samples/sec	acc=0.984688
INFO:root:Epoch[4] Batch [350-400]	Speed: 5657.84 samples/sec	acc=0.989688
INFO:root:Epoch[4] Batch [400-450]	Speed: 5678.59 samples/sec	acc=0.989062
INFO:root:Epoch[4] Batch [450-500]	Speed: 5817.40 samples/sec	acc=0.986563
